epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
133,6700.64,0.49788,0.24415,0.96044,0.98401,0.98058,0.99108,0.93921,0.34217,0.12322,0.87964,0.000266532,0.000266532,0.000266532
134,6751.04,0.48402,0.23386,0.95712,0.97751,0.98614,0.9917,0.9397,0.3456,0.12537,0.88103,0.000259748,0.000259748,0.000259748
135,6799.72,0.48548,0.24172,0.95722,0.98094,0.98508,0.9921,0.94193,0.3409,0.12147,0.87871,0.000253024,0.000253024,0.000253024
136,6849.8,0.47904,0.23908,0.95528,0.9841,0.98779,0.99242,0.9389,0.34617,0.11842,0.8813,0.000246363,0.000246363,0.000246363
137,6899.89,0.46722,0.22775,0.94597,0.98552,0.98577,0.99242,0.93862,0.34541,0.1155,0.88089,0.000239766,0.000239766,0.000239766
138,6951.22,0.4775,0.22589,0.95659,0.98672,0.98088,0.99181,0.93711,0.34692,0.12716,0.88172,0.000233234,0.000233234,0.000233234
139,7002.83,0.48505,0.22394,0.94661,0.98908,0.98442,0.99223,0.93918,0.34282,0.11838,0.8801,0.000226769,0.000226769,0.000226769
140,7050.82,0.48081,0.23374,0.95058,0.98133,0.98814,0.99204,0.93973,0.34649,0.12069,0.88234,0.000220372,0.000220372,0.000220372
141,7101.55,0.47032,0.23078,0.94864,0.9817,0.98395,0.99142,0.9386,0.34376,0.12064,0.88077,0.000214046,0.000214046,0.000214046
142,7150.76,0.47433,0.22599,0.95221,0.98427,0.98465,0.99212,0.93865,0.34454,0.11874,0.87994,0.000207792,0.000207792,0.000207792
143,7199.92,0.47037,0.22088,0.94528,0.98801,0.98794,0.99222,0.93943,0.34547,0.11478,0.8798,0.000201611,0.000201611,0.000201611
144,7249.23,0.47649,0.22948,0.94802,0.98641,0.98291,0.99221,0.9397,0.34651,0.11927,0.87962,0.000195505,0.000195505,0.000195505
145,7298.31,0.46849,0.22441,0.94464,0.98552,0.97902,0.99222,0.94085,0.34483,0.12152,0.879,0.000189475,0.000189475,0.000189475
146,7349.16,0.46334,0.22954,0.94956,0.98522,0.98454,0.992,0.93921,0.34613,0.11838,0.8794,0.000183523,0.000183523,0.000183523
147,7397.99,0.47667,0.22555,0.94753,0.98501,0.98386,0.99217,0.93905,0.34442,0.12072,0.8784,0.000177651,0.000177651,0.000177651
148,7448.06,0.46043,0.22389,0.94848,0.98382,0.98254,0.99181,0.93686,0.34436,0.12624,0.87853,0.000171859,0.000171859,0.000171859
149,7496.86,0.47109,0.22485,0.94479,0.98537,0.98099,0.99229,0.9386,0.34324,0.12407,0.87761,0.000166149,0.000166149,0.000166149
150,7545.25,0.47804,0.21929,0.94797,0.9873,0.9837,0.9923,0.93867,0.34274,0.1183,0.87726,0.000160523,0.000160523,0.000160523
151,7595.32,0.46578,0.21968,0.9437,0.98845,0.98517,0.99143,0.93833,0.34286,0.11479,0.87816,0.000154982,0.000154982,0.000154982
152,7645.37,0.4712,0.21867,0.94306,0.98836,0.98665,0.99217,0.93828,0.34152,0.11515,0.87781,0.000149527,0.000149527,0.000149527
153,7695.5,0.45705,0.20886,0.94555,0.98611,0.98741,0.99234,0.93788,0.34208,0.11594,0.87817,0.000144161,0.000144161,0.000144161
154,7745.64,0.46352,0.21105,0.9397,0.98719,0.98333,0.9923,0.93618,0.34352,0.11832,0.87843,0.000138883,0.000138883,0.000138883
155,7793.83,0.45938,0.21946,0.93947,0.98829,0.98268,0.99225,0.93735,0.34091,0.11464,0.87786,0.000133695,0.000133695,0.000133695
156,7842.51,0.45404,0.21919,0.94401,0.98877,0.98519,0.99252,0.93807,0.33988,0.11603,0.87706,0.000128599,0.000128599,0.000128599
157,7893.04,0.45009,0.20761,0.93779,0.98914,0.98641,0.99266,0.9388,0.34179,0.11872,0.87781,0.000123596,0.000123596,0.000123596
158,7944.15,0.46488,0.21207,0.93985,0.99009,0.98594,0.99196,0.93826,0.34232,0.11446,0.87766,0.000118687,0.000118687,0.000118687
159,7994.29,0.44888,0.20714,0.93412,0.99053,0.98637,0.99206,0.93796,0.3417,0.11645,0.87765,0.000113873,0.000113873,0.000113873
160,8043.99,0.45355,0.21446,0.93698,0.98565,0.98723,0.99197,0.9384,0.34016,0.1151,0.87673,0.000109156,0.000109156,0.000109156
161,8094.77,0.44283,0.2093,0.93817,0.99013,0.98636,0.99265,0.93828,0.34159,0.11552,0.87714,0.000104537,0.000104537,0.000104537
162,8142.82,0.44964,0.21,0.93465,0.99024,0.98479,0.99273,0.9391,0.33959,0.11493,0.87615,0.000100016,0.000100016,0.000100016
163,8192.75,0.45863,0.2073,0.94032,0.98973,0.98525,0.99263,0.94015,0.33774,0.11645,0.87584,9.55951e-05,9.55951e-05,9.55951e-05
164,8240.95,0.4497,0.20386,0.93555,0.98851,0.98478,0.99272,0.94001,0.33741,0.11573,0.87588,9.12754e-05,9.12754e-05,9.12754e-05
165,8290.89,0.44482,0.20982,0.9361,0.98905,0.98224,0.9922,0.94092,0.33719,0.11985,0.87576,8.70577e-05,8.70577e-05,8.70577e-05
166,8341.01,0.45388,0.21084,0.93874,0.9873,0.98571,0.99225,0.94028,0.33823,0.1188,0.8762,8.29431e-05,8.29431e-05,8.29431e-05
167,8389.75,0.44918,0.20572,0.93429,0.98582,0.9871,0.99219,0.94062,0.33897,0.11738,0.87641,7.89327e-05,7.89327e-05,7.89327e-05
168,8440.68,0.44885,0.2074,0.93841,0.98798,0.98471,0.99239,0.93935,0.34005,0.11524,0.87707,7.50274e-05,7.50274e-05,7.50274e-05
169,8488.6,0.44203,0.2092,0.93292,0.98322,0.98698,0.99236,0.93942,0.34117,0.11686,0.87735,7.12282e-05,7.12282e-05,7.12282e-05
170,8538.78,0.43312,0.19916,0.93678,0.98531,0.98401,0.99204,0.93929,0.34025,0.11771,0.87668,6.7536e-05,6.7536e-05,6.7536e-05
171,8587.36,0.44241,0.20602,0.92997,0.98549,0.98639,0.99251,0.94105,0.3397,0.11615,0.87654,6.39518e-05,6.39518e-05,6.39518e-05
172,8636.54,0.43608,0.20044,0.93105,0.98434,0.98763,0.99255,0.94096,0.33876,0.11783,0.87619,6.04763e-05,6.04763e-05,6.04763e-05
173,8686.44,0.44429,0.20645,0.93726,0.98626,0.98596,0.99253,0.93903,0.33913,0.11703,0.87637,5.71106e-05,5.71106e-05,5.71106e-05
174,8737.79,0.43896,0.20316,0.93955,0.98625,0.98708,0.99253,0.93946,0.33851,0.11732,0.8765,5.38554e-05,5.38554e-05,5.38554e-05
175,8788.3,0.44596,0.20634,0.93637,0.98584,0.98673,0.99251,0.9401,0.33831,0.11478,0.87659,5.07115e-05,5.07115e-05,5.07115e-05
176,8837.71,0.43751,0.20168,0.9341,0.98613,0.98628,0.99208,0.94037,0.33832,0.11555,0.87659,4.76796e-05,4.76796e-05,4.76796e-05
177,8887.45,0.44112,0.19929,0.93555,0.98673,0.98616,0.99252,0.93954,0.33859,0.11791,0.8766,4.47606e-05,4.47606e-05,4.47606e-05
178,8936.24,0.4373,0.19965,0.9326,0.9882,0.98364,0.99248,0.94,0.3389,0.12054,0.87675,4.19552e-05,4.19552e-05,4.19552e-05
179,8984.43,0.44935,0.20762,0.93834,0.98773,0.9848,0.99216,0.93985,0.33857,0.12032,0.8766,3.9264e-05,3.9264e-05,3.9264e-05
